PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0,-7,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,0,0,7,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,0,1,-7,-1,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
1,0,1,7,1,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
1,0,0,-7,-1,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
1,0,0,7,1,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
1,0,0,-7,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,0,0,7,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,0,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,0,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,1,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,1,0,5,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,1,0,-5,-1,-24,0,-24,1,65,-116,-65,1,-1,-24,-24,0,-65,65,65,74,-181,0
1,1,0,5,1,24,0,24,-1,-65,116,65,-1,1,24,24,0,65,-65,-65,-74,181,0
1,1,1,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
1,1,1,5,1,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
1,1,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,1,0,5,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,1,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,1,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,2,0,-3,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,2,0,3,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,2,1,-3,-1,-24,-62,-86,1,65,-116,-127,1,-2,-86,-86,0,-65,65,65,136,-181,0
1,2,1,3,1,24,62,86,-1,-65,116,127,-1,2,86,86,0,65,-65,-65,-136,181,0
1,2,0,-3,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,2,0,3,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,2,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,2,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,2,0,-29,-1,24,0,24,-1,-127,143,127,-1,2,24,24,0,127,-127,-127,-136,205,0
1,2,0,29,1,-24,0,-24,1,127,-143,-127,1,-2,-24,-24,0,-127,127,127,136,-205,0
1,3,0,-3,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,3,0,3,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,3,1,-3,-1,-18,3,-15,2,130,-116,-127,2,-2,-15,-15,0,-130,130,130,142,-246,0
1,3,1,3,1,18,-3,15,-2,-130,116,127,-2,2,15,15,0,130,-130,-130,-142,246,0
1,3,0,-3,-1,-24,3,-21,1,127,-135,-124,1,-1,-21,-21,0,0,65,0,71,-197,0
1,3,0,3,1,24,-3,21,-1,-127,135,124,-1,1,21,21,0,0,-65,0,-71,197,0
1,3,0,-3,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,3,0,3,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,3,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,3,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,4,1,-3,-1,-33,0,-33,0,0,-170,0,0,0,-33,-15,0,0,0,0,0,-170,0
1,4,1,3,1,33,0,33,0,0,170,0,0,0,33,15,0,0,0,0,0,170,0
1,4,0,-3,-1,-20,74,54,3,201,-116,-127,3,-2,54,54,0,-201,201,201,140,-317,0
1,4,0,3,1,20,-74,-54,-3,-201,116,127,-3,2,-54,-54,0,201,-201,-201,-140,317,0
1,4,0,-3,-1,-24,3,-21,1,127,-135,-124,1,-1,-21,-15,0,0,65,0,71,-197,0
1,4,0,3,1,24,-3,21,-1,-127,135,124,-1,1,21,15,0,0,-65,0,-71,197,0
1,4,0,-3,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,4,0,3,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,4,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,4,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,5,1,-1,-1,-20,18,-2,3,201,-116,-183,3,-3,-2,-2,0,-201,201,201,196,-317,0
1,5,1,1,1,20,-18,2,-3,-201,116,183,-3,3,2,2,0,201,-201,-201,-196,317,0
1,5,0,-1,-1,-24,-53,-77,1,127,-135,-180,1,-2,-77,-71,0,0,65,0,127,-197,0
1,5,0,1,1,24,53,77,-1,-127,135,180,-1,2,77,71,0,0,-65,0,-127,197,0
1,5,0,-1,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,5,0,1,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,5,0,-6,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,5,0,6,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,5,0,-23,-1,33,0,33,-1,-183,178,183,-1,2,33,33,0,53,-118,-53,-127,234,0
1,5,0,23,1,-33,0,-33,1,183,-178,-183,1,-2,-33,-33,0,-53,118,53,127,-234,0
1,6,1,-1,-1,-22,87,65,4,270,-116,-183,4,-3,65,65,0,-270,270,270,202,-386,0
1,6,1,1,1,22,-87,-65,-4,-270,116,183,-4,3,-65,-65,0,270,-270,-270,-202,386,0
1,6,0,-1,-1,-24,-53,-77,1,127,-135,-180,1,-2,-77,-2,0,0,65,0,127,-197,0
1,6,0,1,1,24,53,77,-1,-127,135,180,-1,2,77,2,0,0,-65,0,-127,197,0
