PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0.0.0,0,834,2,89,0,89,1,0,461,0,0,1,89,89,1,0,0,0,446,461,2286
1,0,1.0.0,1,820,0,56,0,56,1,0,283,0,0,1,56,56,1,0,0,0,446,283,2286
1,0,2.0.0,0,820,0,65,0,65,1,0,337,0,0,1,65,65,1,0,0,0,446,337,2286
1,0,3.0.0,0,827,1,89,0,89,1,0,453,0,0,1,89,89,1,0,0,0,446,453,2286
1,0,4.0.0,0,820,0,62,0,62,1,0,318,0,0,1,62,62,1,0,0,0,446,318,2286
1,0,5.0.0,0,820,0,85,0,85,1,0,434,0,0,1,85,85,1,0,0,0,446,434,2286
1,1,0.0.56,0,831,2,89,56,145,1,0,461,56,0,2,145,145,2,0,0,0,390,461,2230
1,1,1.1.56,1,820,0,56,56,112,2,56,283,0,1,1,112,112,2,-56,56,56,455,227,2230
1,1,2.0.56,0,820,0,65,56,121,1,0,337,56,0,2,121,121,2,0,0,0,390,337,2230
1,1,3.0.56,0,824,1,89,56,145,1,0,453,56,0,2,145,145,2,0,0,0,390,453,2230
1,1,4.0.56,0,820,0,62,56,118,1,0,318,56,0,2,118,118,2,0,0,0,390,318,2230
1,1,5.0.56,0,820,0,85,56,141,1,0,434,56,0,2,141,141,2,0,0,0,390,434,2230
1,2,0.0.56,0,831,2,89,56,145,1,0,461,56,0,2,145,145,3,0,0,56,390,461,2174
1,2,1.2.112,1,820,0,59,112,171,3,112,283,0,2,1,171,171,3,-112,112,168,461,171,2174
1,2,2.0.56,0,820,0,65,56,121,1,0,337,56,0,2,121,121,3,0,0,56,390,337,2174
1,2,3.0.56,0,824,1,89,56,145,1,0,453,56,0,2,145,145,3,0,0,56,390,453,2174
1,2,4.0.56,0,820,0,62,56,118,1,0,318,56,0,2,118,118,3,0,0,56,390,318,2174
1,2,5.0.56,0,820,0,85,56,141,1,0,434,56,0,2,141,141,3,0,0,56,390,434,2174
1,3,0.0.56,0,831,2,89,56,145,1,0,461,56,0,2,145,171,4,0,0,168,390,461,2115
1,3,1.3.171,1,820,0,53,171,224,4,171,283,0,3,1,224,224,4,-171,171,339,459,112,2115
1,3,2.0.56,0,820,0,65,56,121,1,0,337,56,0,2,121,171,4,0,0,168,390,337,2115
1,3,3.0.56,0,824,1,89,56,145,1,0,453,56,0,2,145,171,4,0,0,168,390,453,2115
1,3,4.0.56,0,820,0,62,56,118,1,0,318,56,0,2,118,171,4,0,0,168,390,318,2115
1,3,5.0.56,0,820,0,85,56,141,1,0,434,56,0,2,141,171,4,0,0,168,390,434,2115
1,4,0.0.56,0,831,2,89,56,145,1,0,461,56,0,2,145,224,5,0,0,339,390,461,2062
1,4,1.4.224,1,820,0,59,224,283,5,224,283,0,4,1,283,283,5,-224,224,563,465,59,2062
1,4,2.0.56,0,820,0,65,56,121,1,0,337,56,0,2,121,224,5,0,0,339,390,337,2062
1,4,3.0.56,0,824,1,89,56,145,1,0,453,56,0,2,145,224,5,0,0,339,390,453,2062
1,4,4.0.56,0,820,0,62,56,118,1,0,318,56,0,2,118,224,5,0,0,339,390,318,2062
1,4,5.0.56,0,820,0,85,56,141,1,0,434,56,0,2,141,224,5,0,0,339,390,434,2062
1,5,0.0.56,0,831,2,89,56,145,1,0,461,56,0,2,145,283,6,0,0,563,390,461,2003
1,5,2.0.56,0,820,0,65,56,121,1,0,337,56,0,2,121,283,6,0,0,563,390,337,2003
1,5,3.0.56,0,824,1,89,56,145,1,0,453,56,0,2,145,283,6,0,0,563,390,453,2003
1,5,4.0.56,1,820,0,62,56,118,1,0,318,56,0,2,118,283,6,0,0,563,390,318,2003
1,5,5.0.56,0,820,0,85,56,141,1,0,434,56,0,2,141,283,6,0,0,563,390,434,2003
1,6,0.0.118,0,829,2,89,118,207,1,0,461,118,0,3,207,283,7,0,0,563,328,461,1941
1,6,2.0.118,1,820,0,65,118,183,1,0,337,118,0,3,183,283,7,0,0,563,328,337,1941
1,6,3.0.118,0,823,1,89,118,207,1,0,453,118,0,3,207,283,7,0,0,563,328,453,1941
