PID,Step,Rank,ResultingOptMakespan,Followed,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
0,0,-1,-7,0,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
0,0,1,7,0,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
0,0,-1,-7,1,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
0,0,1,7,1,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
0,0,-1,-7,0,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
0,0,1,7,0,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
0,0,-1,-7,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,0,1,7,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,0,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,1,-1,-5,0,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
0,1,1,5,0,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
0,1,-1,-5,1,-24,0,-24,1,65,-116,-65,1,-1,-24,-24,0,-65,65,65,74,-181,0
0,1,1,5,1,24,0,24,-1,-65,116,65,-1,1,24,24,0,65,-65,-65,-74,181,0
0,1,-1,-5,0,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
0,1,1,5,0,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
0,1,-1,-5,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,1,1,5,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,1,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,1,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,2,-1,-5,0,-33,0,-33,0,0,-170,0,0,0,-33,-24,0,0,0,0,0,-170,0
0,2,1,5,0,33,0,33,0,0,170,0,0,0,33,24,0,0,0,0,0,170,0
0,2,-1,-5,1,-18,65,47,2,130,-116,-65,2,-1,47,47,0,-130,130,130,80,-246,0
0,2,1,5,1,18,-65,-47,-2,-130,116,65,-2,1,-47,-47,0,130,-130,-130,-80,246,0
0,2,-1,-5,0,-27,0,-27,0,0,-135,0,0,0,-27,-24,0,0,0,0,0,-135,0
0,2,1,5,0,27,0,27,0,0,135,0,0,0,27,24,0,0,0,0,0,135,0
0,2,-1,-5,0,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
0,2,1,5,0,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
0,2,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,2,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,3,-1,-5,0,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
0,3,1,5,0,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
0,3,-1,-5,1,-20,136,116,3,201,-116,-65,3,-1,116,69,0,-201,201,201,78,-317,0
0,3,1,5,1,20,-136,-116,-3,-201,116,65,-3,1,-116,-69,0,201,-201,-201,-78,317,0
0,3,-1,-5,0,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
0,3,1,5,0,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
0,3,-1,-5,0,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
0,3,1,5,0,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
0,3,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,3,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,4,-1,-5,0,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
0,4,1,5,0,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
0,4,-1,-5,1,-22,205,183,4,270,-116,-65,4,-1,183,67,0,-270,270,270,84,-386,0
0,4,1,5,1,22,-205,-183,-4,-270,116,65,-4,1,-183,-67,0,270,-270,-270,-84,386,0
0,4,-1,-5,0,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
0,4,1,5,0,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
0,4,-1,-5,0,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
0,4,1,5,0,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
0,4,-1,-7,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,4,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
0,5,-1,-5,0,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
0,5,1,5,0,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
0,5,-1,-5,0,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
0,5,1,5,0,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
0,5,-1,-5,0,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
0,5,1,5,0,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
0,5,-1,-7,1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
0,5,1,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,0,-1,-1,0,12,0,12,0,0,64,0,0,0,12,12,0,0,0,0,0,64,0
1,0,1,1,0,-12,0,-12,0,0,-64,0,0,0,-12,-12,0,0,0,0,0,-64,0
1,0,-1,-1,0,18,0,18,0,0,64,0,0,0,18,18,0,0,0,0,0,64,0
1,0,1,1,0,-18,0,-18,0,0,-64,0,0,0,-18,-18,0,0,0,0,0,-64,0
1,0,-1,-1,1,-17,0,-17,0,0,-79,0,0,0,-17,-17,0,0,0,0,0,-79,0
1,0,1,1,1,17,0,17,0,0,79,0,0,0,17,17,0,0,0,0,0,79,0
1,0,-1,-1,0,4,0,4,0,0,20,0,0,0,4,4,0,0,0,0,0,20,0
1,0,1,1,0,-4,0,-4,0,0,-20,0,0,0,-4,-4,0,0,0,0,0,-20,0
1,0,-1,-6,0,-29,0,-29,0,0,-139,0,0,0,-29,-29,0,0,0,0,0,-139,0
1,0,1,6,0,29,0,29,0,0,139,0,0,0,29,29,0,0,0,0,0,139,0
1,1,-1,-1,0,12,0,12,0,0,64,0,0,0,12,12,0,0,0,0,0,64,0
1,1,1,1,0,-12,0,-12,0,0,-64,0,0,0,-12,-12,0,0,0,0,0,-64,0
1,1,-1,-1,0,18,0,18,0,0,64,0,0,0,18,18,0,0,0,0,0,64,0
1,1,1,1,0,-18,0,-18,0,0,-64,0,0,0,-18,-18,0,0,0,0,0,-64,0
1,1,-1,-1,1,-13,0,-13,1,6,-79,-6,1,-1,-13,-13,0,-6,6,6,2,-85,0
1,1,1,1,1,13,0,13,-1,-6,79,6,-1,1,13,13,0,6,-6,-6,-2,85,0
1,1,-1,-1,0,4,0,4,0,0,20,0,0,0,4,4,0,0,0,0,0,20,0
1,1,1,1,0,-4,0,-4,0,0,-20,0,0,0,-4,-4,0,0,0,0,0,-20,0
1,1,-1,-2,0,-29,0,-29,0,0,-139,0,0,0,-29,-29,0,0,0,0,0,-139,0
1,1,1,2,0,29,0,29,0,0,139,0,0,0,29,29,0,0,0,0,0,139,0
1,2,-1,-1,0,12,0,12,0,0,64,0,0,0,12,12,0,0,0,0,0,64,0
1,2,1,1,0,-12,0,-12,0,0,-64,0,0,0,-12,-12,0,0,0,0,0,-64,0
1,2,-1,-1,0,18,0,18,0,0,64,0,0,0,18,18,0,0,0,0,0,64,0
1,2,1,1,0,-18,0,-18,0,0,-64,0,0,0,-18,-18,0,0,0,0,0,-64,0
1,2,-1,-1,1,-15,10,-5,2,16,-79,-6,2,-1,-5,-5,0,-16,16,16,2,-95,0
1,2,1,1,1,15,-10,5,-2,-16,79,6,-2,1,5,5,0,16,-16,-16,-2,95,0
1,2,-1,-1,0,4,0,4,0,0,20,0,0,0,4,4,0,0,0,0,0,20,0
