PID,Step,Rank,ResultingOptMakespan,Followed,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
0,0,-1,-1,1,-2,0,-2,0,0,3,0,0,0,-2,-2,0,0,0,0,0,3,0
0,0,1,1,1,2,0,2,0,0,-3,0,0,0,2,2,0,0,0,0,0,-3,0
0,0,-1,-1,0,-1,0,-1,0,0,-3,0,0,0,-1,-1,0,0,0,0,0,-3,0
0,0,1,1,0,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,3,0
0,0,-1,-1,0,-4,0,-4,0,0,-14,0,0,0,-4,-4,0,0,0,0,0,-14,0
0,0,1,1,0,4,0,4,0,0,14,0,0,0,4,4,0,0,0,0,0,14,0
0,0,-1,-2,0,-1,0,-1,0,0,8,0,0,0,-1,-1,0,0,0,0,0,8,0
0,0,1,2,0,1,0,1,0,0,-8,0,0,0,1,1,0,0,0,0,0,-8,0
0,0,-1,-7,0,-1,0,-1,0,0,-5,0,0,0,-1,-1,0,0,0,0,0,-5,0
0,0,1,7,0,1,0,1,0,0,5,0,0,0,1,1,0,0,0,0,0,5,0
0,1,-1,-1,1,1,0,1,1,47,-3,-47,1,-1,1,1,0,-47,47,47,49,-50,0
0,1,1,1,1,-1,0,-1,-1,-47,3,47,-1,1,-1,-1,0,47,-47,-47,-49,50,0
0,1,-1,-1,1,6,0,6,1,47,3,-47,1,-1,6,6,0,-47,47,47,49,-44,0
0,1,1,1,1,-6,0,-6,-1,-47,-3,47,-1,1,-6,-6,0,47,-47,-47,-49,44,0
0,1,-1,-1,1,2,0,2,1,47,-11,-47,1,-1,2,2,0,-47,47,47,49,-58,0
0,1,1,1,1,-2,0,-2,-1,-47,11,47,-1,1,-2,-2,0,47,-47,-47,-49,58,0
0,1,-1,-1,0,-6,0,-6,0,0,-9,0,0,0,-6,-6,0,0,0,0,0,-9,0
0,1,1,1,0,6,0,6,0,0,9,0,0,0,6,6,0,0,0,0,0,9,0
0,1,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,-1,0,0,0,0,0,-5,0
0,1,1,6,0,1,0,1,0,0,5,0,0,0,1,1,0,0,0,0,0,5,0
0,2,-1,-1,1,-6,55,49,2,102,-3,-47,2,-1,49,48,0,-102,102,102,30,-105,0
0,2,1,1,1,6,-55,-49,-2,-102,3,47,-2,1,-49,-48,0,102,-102,-102,-30,105,0
0,2,-1,-1,1,-1,55,54,2,102,3,-47,2,-1,54,48,0,-102,102,102,30,-99,0
0,2,1,1,1,1,-55,-54,-2,-102,-3,47,-2,1,-54,-48,0,102,-102,-102,-30,99,0
0,2,-1,-1,1,-5,55,50,2,102,-11,-47,2,-1,50,48,0,-102,102,102,30,-113,0
0,2,1,1,1,5,-55,-50,-2,-102,11,47,-2,1,-50,-48,0,102,-102,-102,-30,113,0
0,2,-1,-1,0,-6,0,-6,0,0,-9,0,0,0,-6,0,0,0,0,0,0,-9,0
0,2,1,1,0,6,0,6,0,0,9,0,0,0,6,0,0,0,0,0,0,9,0
0,2,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,2,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,3,-1,-1,1,-6,103,97,3,150,-3,-47,3,-1,97,48,0,-150,150,150,41,-153,0
0,3,1,1,1,6,-103,-97,-3,-150,3,47,-3,1,-97,-48,0,150,-150,-150,-41,153,0
0,3,-1,-1,1,-1,103,102,3,150,3,-47,3,-1,102,48,0,-150,150,150,41,-147,0
0,3,1,1,1,1,-103,-102,-3,-150,-3,47,-3,1,-102,-48,0,150,-150,-150,-41,147,0
0,3,-1,-1,1,-5,103,98,3,150,-11,-47,3,-1,98,48,0,-150,150,150,41,-161,0
0,3,1,1,1,5,-103,-98,-3,-150,11,47,-3,1,-98,-48,0,150,-150,-150,-41,161,0
0,3,-1,-1,0,-6,0,-6,0,0,-9,0,0,0,-6,0,0,0,0,0,0,-9,0
0,3,1,1,0,6,0,6,0,0,9,0,0,0,6,0,0,0,0,0,0,9,0
0,3,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,3,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,4,-1,-1,1,-3,151,148,4,198,-3,-47,4,-1,148,51,0,-198,198,198,45,-201,0
0,4,1,1,1,3,-151,-148,-4,-198,3,47,-4,1,-148,-51,0,198,-198,-198,-45,201,0
0,4,-1,-1,1,2,151,153,4,198,3,-47,4,-1,153,51,0,-198,198,198,45,-195,0
0,4,1,1,1,-2,-151,-153,-4,-198,-3,47,-4,1,-153,-51,0,198,-198,-198,-45,195,0
0,4,-1,-1,1,-2,151,149,4,198,-11,-47,4,-1,149,51,0,-198,198,198,45,-209,0
0,4,1,1,1,2,-151,-149,-4,-198,11,47,-4,1,-149,-51,0,198,-198,-198,-45,209,0
0,4,-1,-1,0,-6,0,-6,0,0,-9,0,0,0,-6,0,0,0,0,0,0,-9,0
0,4,1,1,0,6,0,6,0,0,9,0,0,0,6,0,0,0,0,0,0,9,0
0,4,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,4,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,5,-1,-1,1,-6,0,-6,0,0,-9,0,0,0,-6,0,0,0,0,0,0,-9,0
0,5,1,1,1,6,0,6,0,0,9,0,0,0,6,0,0,0,0,0,0,9,0
0,5,-1,-1,1,-1,0,-1,0,0,-3,0,0,0,-1,0,0,0,0,0,0,-3,0
0,5,1,1,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,3,0
0,5,-1,-1,1,-5,0,-5,0,0,-17,0,0,0,-5,0,0,0,0,0,0,-17,0
0,5,1,1,1,5,0,5,0,0,17,0,0,0,5,0,0,0,0,0,0,17,0
0,5,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,5,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,6,-1,-1,0,-1,0,-1,0,0,8,0,0,0,-1,0,0,0,0,0,0,8,0
0,6,1,1,0,1,0,1,0,0,-8,0,0,0,1,0,0,0,0,0,0,-8,0
0,6,-1,-1,0,4,0,4,0,0,14,0,0,0,4,0,0,0,0,0,0,14,0
0,6,1,1,0,-4,0,-4,0,0,-14,0,0,0,-4,0,0,0,0,0,0,-14,0
0,6,-1,-1,1,-5,7,2,1,95,-9,-88,1,-1,2,0,0,0,47,0,42,-57,0
0,6,1,1,1,5,-7,-2,-1,-95,9,88,-1,1,-2,0,0,0,-47,0,-42,57,0
0,6,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,6,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,7,-1,-1,0,-1,0,-1,0,0,8,0,0,0,-1,0,0,0,0,0,0,8,0
0,7,1,1,0,1,0,1,0,0,-8,0,0,0,1,0,0,0,0,0,0,-8,0
0,7,-1,-1,0,4,0,4,0,0,14,0,0,0,4,0,0,0,0,0,0,14,0
0,7,1,1,0,-4,0,-4,0,0,-14,0,0,0,-4,0,0,0,0,0,0,-14,0
0,7,-1,-1,1,-9,56,47,2,151,-9,-95,2,-1,47,0,0,-1,103,1,30,-106,0
0,7,1,1,1,9,-56,-47,-2,-151,9,95,-2,1,-47,0,0,1,-103,-1,-30,106,0
0,7,-1,-6,0,-1,0,-1,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-5,0
0,7,1,6,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,5,0
0,8,-1,-1,0,-1,0,-1,0,0,8,0,0,0,-1,0,0,0,0,0,0,8,0
0,8,1,1,0,1,0,1,0,0,-8,0,0,0,1,0,0,0,0,0,0,-8,0
0,8,-1,-1,0,4,0,4,0,0,14,0,0,0,4,0,0,0,0,0,0,14,0
0,8,1,1,0,-4,0,-4,0,0,-14,0,0,0,-4,0,0,0,0,0,0,-14,0
0,8,-1,-1,1,-3,103,100,3,196,-9,-93,3,-1,100,0,0,0,150,0,41,-151,0
